ABW,Aruba,0
AFG,Afghanistan,1919
AGO,Angola,1975
AIA,Anguilla,0
ALB,Albania,1912
AND,Andorra,1278
ANT,Netherlands Antilles,0
ARE,United Arab Emirates,1971
ARG,Argentina,1816
ARM,Armenia,1991
ASM,American Samoa,0
ATA,Antarctica,0
ATF,French Southern territories,0
ATG,Antigua and Barbuda,1981
AUS,Australia,1901
AUT,Austria,1918
AZE,Azerbaijan,1991
BDI,Burundi,1962
BEL,Belgium,1830
BEN,Benin,1960
BFA,Burkina Faso,1960
BGD,Bangladesh,1971
BGR,Bulgaria,1908
BHR,Bahrain,1971
BHS,Bahamas,1973
BIH,Bosnia and Herzegovina,1992
BLR,Belarus,1991
BLZ,Belize,1981
BMU,Bermuda,0
BOL,Bolivia,1825
BRA,Brazil,1822
BRB,Barbados,1966
BRN,Brunei,1984
BTN,Bhutan,1910
BVT,Bouvet Island,0
BWA,Botswana,1966
CAF,Central African Republic,1960
CAN,Canada,1867
CCK,Cocos (Keeling) Islands,0
CHE,Switzerland,1499
CHL,Chile,1810
CHN,China,-1523
CIV,Côte d’Ivoire,1960
CMR,Cameroon,1960
COD,"Congo, The Democratic Republic of the",1960
COG,Congo,1960
COK,Cook Islands,0
COL,Colombia,1810
COM,Comoros,1975
CPV,Cape Verde,1975
CRI,Costa Rica,1821
CUB,Cuba,1902
CXR,Christmas Island,0
CYM,Cayman Islands,0
CYP,Cyprus,1960
CZE,Czech Republic,1993
DEU,Germany,1955
DJI,Djibouti,1977
DMA,Dominica,1978
DNK,Denmark,800
DOM,Dominican Republic,1844
DZA,Algeria,1962
ECU,Ecuador,1822
EGY,Egypt,1922
ERI,Eritrea,1993
ESH,Western Sahara,0
ESP,Spain,1492
EST,Estonia,1991
ETH,Ethiopia,-1000
FIN,Finland,1917
FJI,Fiji Islands,1970
FLK,Falkland Islands,0
FRA,France,843
FRO,Faroe Islands,0
FSM,"Micronesia, Federated States of",1990
GAB,Gabon,1960
GBR,United Kingdom,1066
GEO,Georgia,1991
GHA,Ghana,1957
GIB,Gibraltar,0
GIN,Guinea,1958
GLP,Guadeloupe,0
GMB,Gambia,1965
GNB,Guinea-Bissau,1974
GNQ,Equatorial Guinea,1968
GRC,Greece,1830
GRD,Grenada,1974
GRL,Greenland,0
GTM,Guatemala,1821
GUF,French Guiana,0
GUM,Guam,0
GUY,Guyana,1966
HKG,Hong Kong,0
HMD,Heard Island and McDonald Islands,0
HND,Honduras,1838
HRV,Croatia,1991
HTI,Haiti,1804
HUN,Hungary,1918
IDN,Indonesia,1945
IND,India,1947
IOT,British Indian Ocean Territory,0
IRL,Ireland,1921
IRN,Iran,1906
IRQ,Iraq,1932
ISL,Iceland,1944
ISR,Israel,1948
ITA,Italy,1861
JAM,Jamaica,1962
JOR,Jordan,1946
JPN,Japan,-660
KAZ,Kazakstan,1991
KEN,Kenya,1963
KGZ,Kyrgyzstan,1991
KHM,Cambodia,1953
KIR,Kiribati,1979
KNA,Saint Kitts and Nevis,1983
KOR,South Korea,1948
KWT,Kuwait,1961
LAO,Laos,1953
LBN,Lebanon,1941
LBR,Liberia,1847
LBY,Libyan Arab Jamahiriya,1951
LCA,Saint Lucia,1979
LIE,Liechtenstein,1806
LKA,Sri Lanka,1948
LSO,Lesotho,1966
LTU,Lithuania,1991
LUX,Luxembourg,1867
LVA,Latvia,1991
MAC,Macao,0
MAR,Morocco,1956
MCO,Monaco,1861
MDA,Moldova,1991
MDG,Madagascar,1960
MDV,Maldives,1965
MEX,Mexico,1810
MHL,Marshall Islands,1990
MKD,Macedonia,1991
MLI,Mali,1960
MLT,Malta,1964
MMR,Myanmar,1948
MNG,Mongolia,1921
MNP,Northern Mariana Islands,0
MOZ,Mozambique,1975
MRT,Mauritania,1960
MSR,Montserrat,0
MTQ,Martinique,0
MUS,Mauritius,1968
MWI,Malawi,1964
MYS,Malaysia,1957
MYT,Mayotte,0
NAM,Namibia,1990
NCL,New Caledonia,0
NER,Niger,1960
NFK,Norfolk Island,0
NGA,Nigeria,1960
NIC,Nicaragua,1838
NIU,Niue,0
NLD,Netherlands,1581
NOR,Norway,1905
NPL,Nepal,1769
NRU,Nauru,1968
NZL,New Zealand,1907
OMN,Oman,1951
PAK,Pakistan,1947
PAN,Panama,1903
PCN,Pitcairn,0
PER,Peru,1821
PHL,Philippines,1946
PLW,Palau,1994
PNG,Papua New Guinea,1975
POL,Poland,1918
PRI,Puerto Rico,0
PRK,North Korea,1948
PRT,Portugal,1143
PRY,Paraguay,1811
PSE,Palestine,0
PYF,French Polynesia,0
QAT,Qatar,1971
REU,Réunion,0
ROM,Romania,1878
RUS,Russian Federation,1991
RWA,Rwanda,1962
SAU,Saudi Arabia,1932
SDN,Sudan,1956
SEN,Senegal,1960
SGP,Singapore,1965
SGS,South Georgia and the South Sandwich Islands,0
SHN,Saint Helena,0
SJM,Svalbard and Jan Mayen,0
SLB,Solomon Islands,1978
SLE,Sierra Leone,1961
SLV,El Salvador,1841
SMR,San Marino,885
SOM,Somalia,1960
SPM,Saint Pierre and Miquelon,0
STP,Sao Tome and Principe,1975
SUR,Suriname,1975
SVK,Slovakia,1993
SVN,Slovenia,1991
SWE,Sweden,836
SWZ,Swaziland,1968
SYC,Seychelles,1976
SYR,Syria,1941
TCA,Turks and Caicos Islands,0
TCD,Chad,1960
TGO,Togo,1960
THA,Thailand,1350
TJK,Tajikistan,1991
TKL,Tokelau,0
TKM,Turkmenistan,1991
TMP,East Timor,0
TON,Tonga,1970
TTO,Trinidad and Tobago,1962
TUN,Tunisia,1956
TUR,Turkey,1923
TUV,Tuvalu,1978
TWN,Taiwan,1945
TZA,Tanzania,1961
UGA,Uganda,1962
UKR,Ukraine,1991
UMI,United States Minor Outlying Islands,0
URY,Uruguay,1828
USA,United States,1776
UZB,Uzbekistan,1991
VAT,Holy See (Vatican tbl_city State),1929
VCT,Saint Vincent and the Grenadines,1979
VEN,Venezuela,1811
VGB,"Virgin Islands, British",0
VIR,"Virgin Islands, U.S.",0
VNM,Vietnam,1945
VUT,Vanuatu,1980
WLF,Wallis and Futuna,0
WSM,Samoa,1962
YEM,Yemen,1918
YUG,Yugoslavia,1918
ZAF,South Africa,1910
ZMB,Zambia,1964
ZWE,Zimbabwe,1980
